GAME_ID,GAME_DATE,TEAM_ID_HOME,TEAM_ID_AWAY,TEAM_NAME_HOME,TEAM_NAME_AWAY,HOME_WIN,PTS_HOME,PTS_AWAY,FG_PCT_HOME,FG_PCT_AWAY,FG3_PCT_HOME,FG3_PCT_AWAY,FT_PCT_HOME,FT_PCT_AWAY,OREB_HOME,OREB_AWAY,DREB_HOME,DREB_AWAY,REB_HOME,REB_AWAY,AST_HOME,AST_AWAY,STL_HOME,STL_AWAY,BLK_HOME,BLK_AWAY,TOV_HOME,TOV_AWAY,PF_HOME,PF_AWAY,PLUS_MINUS_HOME,PLUS_MINUS_AWAY,MIN_HOME,MIN_AWAY
22200001,2022-10-18,1610612738,1610612755,Boston Celtics,Philadelphia 76ers,1,126,117,0.561,0.5,0.343,0.382,0.786,0.857,6,4,30,27,36,31,24,16,8,8,3,3,10,14,24,25,9.0,-9.0,240,239
22200002,2022-10-18,1610612744,1610612747,Golden State Warriors,Los Angeles Lakers,1,123,109,0.455,0.426,0.356,0.25,0.739,0.76,11,9,37,39,48,48,31,23,11,12,4,4,18,21,23,18,14.0,-14.0,241,241
22200013,2022-10-19,1610612756,1610612742,Phoenix Suns,Dallas Mavericks,1,107,105,0.471,0.467,0.364,0.4,0.864,0.618,8,5,32,35,40,40,25,17,4,6,5,4,12,12,29,22,2.0,-2.0,240,240
22200003,2022-10-19,1610612765,1610612753,Detroit Pistons,Orlando Magic,1,113,109,0.426,0.488,0.368,0.367,0.792,0.737,12,10,29,38,41,48,31,21,11,5,4,5,12,18,21,24,4.0,-4.0,239,240
22200011,2022-10-19,1610612759,1610612766,San Antonio Spurs,Charlotte Hornets,0,102,129,0.404,0.511,0.206,0.448,0.714,0.87,14,14,30,37,44,51,22,26,8,7,8,10,15,15,19,20,-27.0,27.0,240,238
22200004,2022-10-19,1610612754,1610612764,Indiana Pacers,Washington Wizards,0,107,114,0.402,0.457,0.357,0.355,0.667,0.792,12,14,30,39,42,53,21,21,7,5,5,10,15,16,20,19,-7.0,7.0,241,241
22200005,2022-10-19,1610612737,1610612745,Atlanta Hawks,Houston Rockets,1,117,107,0.5,0.429,0.28,0.257,0.833,0.933,4,15,34,39,38,54,30,25,12,4,5,3,9,15,18,20,10.0,-10.0,240,240
22200010,2022-10-19,1610612750,1610612760,Minnesota Timberwolves,Oklahoma City Thunder,1,115,108,0.415,0.384,0.263,0.311,0.818,0.818,14,16,41,41,55,57,25,22,6,6,5,6,14,13,21,26,7.0,-7.0,241,241
22200009,2022-10-19,1610612763,1610612752,Memphis Grizzlies,New York Knicks,1,115,112,0.389,0.404,0.34,0.243,0.609,0.833,20,18,44,36,64,54,27,28,6,7,7,5,13,12,17,26,3.0,-3.0,266,265
22200014,2022-10-19,1610612758,1610612757,Sacramento Kings,Portland Trail Blazers,0,108,115,0.459,0.443,0.386,0.393,0.684,0.788,4,11,37,33,41,44,27,20,8,11,5,2,15,11,25,17,-7.0,7.0,241,239
22200008,2022-10-19,1610612761,1610612739,Toronto Raptors,Cleveland Cavaliers,1,108,105,0.419,0.494,0.433,0.357,0.719,0.826,12,6,29,32,41,38,19,25,15,5,4,5,13,17,23,21,3.0,-3.0,240,242
22200006,2022-10-19,1610612751,1610612740,Brooklyn Nets,New Orleans Pelicans,0,108,130,0.449,0.49,0.303,0.462,0.75,0.72,9,21,30,40,39,61,22,31,10,9,10,4,16,12,25,21,-22.0,22.0,242,240
22200012,2022-10-19,1610612762,1610612743,Utah Jazz,Denver Nuggets,1,123,102,0.506,0.482,0.421,0.227,0.742,0.944,11,10,32,25,43,35,27,21,10,10,1,3,19,21,21,23,21.0,-21.0,242,238
22200007,2022-10-19,1610612748,1610612741,Miami Heat,Chicago Bulls,0,108,116,0.463,0.441,0.429,0.361,0.786,0.75,8,12,38,34,46,46,21,23,6,12,2,6,19,14,24,26,-8.0,8.0,240,240
22200015,2022-10-20,1610612755,1610612749,Philadelphia 76ers,Milwaukee Bucks,0,88,90,0.434,0.405,0.208,0.31,0.846,0.643,6,7,38,41,44,48,17,24,6,4,5,6,10,12,14,16,-2.0,2.0,239,241
22200016,2022-10-20,1610612747,1610612746,Los Angeles Lakers,LA Clippers,0,97,103,0.351,0.463,0.2,0.31,0.846,0.645,8,10,30,48,38,58,23,18,13,7,5,7,10,22,24,24,-6.0,6.0,241,239
22200019,2022-10-21,1610612764,1610612741,Washington Wizards,Chicago Bulls,1,102,100,0.513,0.418,0.385,0.259,0.909,0.818,5,10,34,28,39,38,26,19,8,8,8,3,16,13,22,15,2.0,-2.0,241,240
22200023,2022-10-21,1610612752,1610612765,New York Knicks,Detroit Pistons,1,130,106,0.526,0.433,0.421,0.25,0.636,0.594,11,13,39,36,50,49,29,26,4,6,6,2,12,15,26,21,24.0,-24.0,239,240
22200017,2022-10-21,1610612766,1610612740,Charlotte Hornets,New Orleans Pelicans,0,112,124,0.454,0.472,0.382,0.364,0.786,0.865,11,15,26,38,37,53,30,23,9,9,4,7,13,15,24,14,-12.0,12.0,239,240
22200026,2022-10-21,1610612744,1610612743,Golden State Warriors,Denver Nuggets,0,123,128,0.477,0.535,0.341,0.441,0.889,0.84,7,12,28,29,35,41,34,30,10,10,3,2,18,20,23,22,-5.0,5.0,241,241
22200022,2022-10-21,1610612748,1610612738,Miami Heat,Boston Celtics,0,104,111,0.457,0.519,0.308,0.424,0.8,1.0,11,12,25,31,36,43,23,17,8,4,3,11,9,19,18,23,-7.0,7.0,239,241
22200025,2022-10-21,1610612750,1610612762,Minnesota Timberwolves,Utah Jazz,0,126,132,0.458,0.441,0.333,0.4,0.739,0.667,21,19,39,35,60,54,20,39,5,11,7,8,20,13,22,23,-6.0,6.0,264,265
22200024,2022-10-21,1610612745,1610612763,Houston Rockets,Memphis Grizzlies,0,122,129,0.473,0.459,0.457,0.452,0.6,0.69,13,17,32,33,45,50,18,26,4,8,6,10,14,12,22,21,-7.0,7.0,241,240
22200018,2022-10-21,1610612754,1610612759,Indiana Pacers,San Antonio Spurs,0,134,137,0.49,0.543,0.314,0.548,0.955,0.727,14,7,28,30,42,37,32,34,8,9,6,4,16,17,34,22,-3.0,3.0,239,240
22200020,2022-10-21,1610612737,1610612753,Atlanta Hawks,Orlando Magic,1,108,98,0.449,0.413,0.419,0.235,0.938,0.8,9,10,37,34,46,44,26,16,10,9,2,7,17,19,22,19,10.0,-10.0,240,240
22200021,2022-10-21,1610612751,1610612761,Brooklyn Nets,Toronto Raptors,1,109,105,0.475,0.488,0.371,0.393,0.69,0.667,13,8,31,33,44,41,26,25,3,9,13,4,13,13,19,21,4.0,-4.0,239,240
22200027,2022-10-21,1610612757,1610612756,Portland Trail Blazers,Phoenix Suns,1,113,111,0.439,0.457,0.345,0.37,0.861,0.714,13,9,35,32,48,41,14,31,8,14,5,1,18,16,19,29,2.0,-2.0,266,266
22200031,2022-10-22,1610612748,1610612761,Miami Heat,Toronto Raptors,1,112,109,0.5,0.425,0.367,0.359,0.926,0.75,6,8,38,29,44,37,28,24,2,9,2,5,15,6,26,25,3.0,-3.0,240,241
22200034,2022-10-22,1610612742,1610612763,Dallas Mavericks,Memphis Grizzlies,1,137,96,0.5,0.43,0.436,0.273,0.833,0.792,15,6,37,23,52,29,23,20,7,4,7,8,15,17,24,29,41.0,-41.0,238,239
22200028,2022-10-22,1610612755,1610612759,Philadelphia 76ers,San Antonio Spurs,0,105,114,0.44,0.483,0.323,0.421,0.75,0.8,12,12,28,31,40,43,26,27,6,5,5,7,12,14,15,20,-9.0,9.0,241,239
22200030,2022-10-22,1610612753,1610612738,Orlando Magic,Boston Celtics,0,120,126,0.474,0.483,0.441,0.404,0.652,0.821,12,7,36,30,48,37,21,24,5,5,7,6,9,8,24,21,-6.0,6.0,241,243
22200032,2022-10-22,1610612741,1610612739,Chicago Bulls,Cleveland Cavaliers,0,96,128,0.405,0.565,0.241,0.593,0.84,0.889,10,8,25,40,35,48,19,32,12,4,7,5,10,17,19,17,-32.0,32.0,242,241
22200033,2022-10-22,1610612749,1610612745,Milwaukee Bucks,Houston Rockets,1,125,105,0.565,0.387,0.516,0.432,0.619,0.773,8,15,39,32,47,47,29,20,6,9,10,6,16,12,22,22,20.0,-20.0,241,242
22200035,2022-10-22,1610612743,1610612760,Denver Nuggets,Oklahoma City Thunder,1,122,117,0.494,0.447,0.526,0.395,0.581,0.783,9,10,37,37,46,47,33,29,5,10,6,5,18,12,21,27,5.0,-5.0,239,239
22200036,2022-10-22,1610612758,1610612746,Sacramento Kings,LA Clippers,0,109,111,0.471,0.506,0.4,0.409,0.577,0.909,9,5,30,35,39,40,24,24,5,8,5,3,12,13,21,21,-2.0,2.0,239,241
22200029,2022-10-22,1610612754,1610612765,Indiana Pacers,Detroit Pistons,1,124,115,0.437,0.389,0.381,0.429,0.75,0.767,20,17,39,36,59,53,28,26,7,5,15,3,11,13,21,20,9.0,-9.0,240,238
22200038,2022-10-23,1610612737,1610612766,Atlanta Hawks,Charlotte Hornets,0,109,126,0.411,0.522,0.229,0.423,0.821,0.7,16,14,29,38,45,52,23,28,8,7,9,6,12,13,21,24,-17.0,17.0,240,240
22200043,2022-10-23,1610612746,1610612756,LA Clippers,Phoenix Suns,0,95,112,0.439,0.462,0.281,0.357,0.7,0.917,9,13,34,36,43,49,16,29,10,5,0,3,14,12,18,18,-17.0,17.0,240,240
22200037,2022-10-23,1610612747,1610612757,Los Angeles Lakers,Portland Trail Blazers,0,104,106,0.446,0.44,0.182,0.37,0.8,0.815,10,13,30,39,40,52,26,19,9,6,9,5,13,19,24,20,-2.0,2.0,241,239
22200039,2022-10-23,1610612739,1610612764,Cleveland Cavaliers,Washington Wizards,1,117,107,0.427,0.494,0.394,0.429,0.88,0.6,16,4,32,31,48,35,19,25,10,9,5,4,13,18,20,24,10.0,-10.0,266,265
22200042,2022-10-23,1610612744,1610612758,Golden State Warriors,Sacramento Kings,1,130,125,0.517,0.47,0.424,0.256,0.722,0.8,6,13,31,38,37,51,24,31,7,10,5,2,13,16,21,29,5.0,-5.0,240,240
