GAME_ID,GAME_DATE,ML_HOME,ML_AWAY,P_HOME,P_AWAY
1634601600000000000,2021-10-19,-667,667,0.865,0.135
1634601600000000001,2021-10-19,666,-666,0.135,0.865
1634688000000000002,2021-10-20,-637,637,0.865,0.135
1634688000000000003,2021-10-20,623,-623,0.135,0.865
1634688000000000004,2021-10-20,608,-608,0.135,0.865
1634688000000000005,2021-10-20,-651,651,0.865,0.135
1634688000000000006,2021-10-20,-628,628,0.865,0.135
1634688000000000007,2021-10-20,642,-642,0.135,0.865
1634688000000000008,2021-10-20,-658,658,0.865,0.135
1634688000000000009,2021-10-20,-627,627,0.865,0.135
1634688000000000010,2021-10-20,-652,652,0.865,0.135
1634688000000000011,2021-10-20,631,-631,0.135,0.865
1634688000000000012,2021-10-20,661,-661,0.135,0.865
1634774400000000013,2021-10-21,-656,656,0.865,0.135
1634774400000000014,2021-10-21,-628,628,0.865,0.135
1634774400000000015,2021-10-21,-647,647,0.865,0.135
1634860800000000016,2021-10-22,621,-621,0.135,0.865
1634860800000000017,2021-10-22,612,-612,0.135,0.865
1634860800000000018,2021-10-22,-665,665,0.865,0.135
1634860800000000019,2021-10-22,663,-663,0.135,0.865
1634860800000000020,2021-10-22,-212,212,0.685,0.315
1634860800000000021,2021-10-22,-667,667,0.865,0.135
1634860800000000022,2021-10-22,-649,649,0.865,0.135
1634860800000000023,2021-10-22,-646,646,0.865,0.135
1634860800000000001,2021-10-22,616,-616,0.135,0.865
1634860800000000024,2021-10-22,667,-667,0.135,0.865
1634947200000000025,2021-10-23,639,-639,0.135,0.865
1634947200000000011,2021-10-23,-348,348,0.782,0.218
1634947200000000009,2021-10-23,214,-214,0.328,0.672
1634947200000000022,2021-10-23,-617,617,0.865,0.135
1634947200000000004,2021-10-23,647,-647,0.135,0.865
1634947200000000026,2021-10-23,-461,461,0.829,0.171
1634947200000000017,2021-10-23,-218,218,0.69,0.31
1634947200000000008,2021-10-23,-659,659,0.865,0.135
1635033600000000027,2021-10-24,650,-650,0.135,0.865
1635033600000000005,2021-10-24,-316,316,0.76,0.24
1635033600000000021,2021-10-24,-100,100,0.509,0.491
1635033600000000028,2021-10-24,652,-652,0.135,0.865
