TEAM_ID,OFF_RATING,DEF_RATING,NET_RATING,PACE
1610612737,113.7,114.8,-1.1,103.41
1610612738,119.5,110.1,9.4,96.59
1610612739,121.0,111.8,9.2,100.31
1610612740,109.7,119.1,-9.4,99.77
1610612741,113.2,114.8,-1.6,103.61
1610612742,113.7,115.0,-1.3,100.15
1610612743,118.9,115.1,3.8,100.67
1610612744,114.2,111.0,3.2,99.37
1610612745,114.9,110.3,4.6,99.03
1610612746,114.3,109.4,4.9,98.24
1610612747,115.0,113.8,1.2,98.34
1610612748,112.4,112.0,0.4,97.08
1610612749,115.1,112.7,2.4,99.92
1610612750,115.7,110.8,5.0,97.95
1610612751,108.1,115.4,-7.3,96.73
1610612752,117.3,113.3,4.0,97.64
1610612753,108.9,109.1,-0.2,96.51
1610612754,115.4,113.3,2.1,100.76
1610612755,111.0,117.3,-6.3,98.13
1610612756,114.7,117.7,-3.0,98.31
1610612757,111.0,113.7,-2.7,99.51
1610612758,115.9,115.3,0.6,98.91
1610612759,113.5,116.3,-2.8,100.08
1610612760,119.2,106.6,12.7,100.9
1610612761,109.6,113.6,-4.1,100.62
1610612762,110.2,119.4,-9.2,100.85
1610612763,117.2,112.6,4.7,103.69
1610612764,105.8,118.0,-12.2,101.82
1610612765,114.6,112.5,2.1,100.27
1610612766,106.7,115.7,-9.1,98.22
